"id","first_option","first_link","second_option","second_link","probability"
"vezelkoppen20","Steel zilvergrijs, vanaf de basis donkerbruin wordend. Hoedcentrum duidelijk donkerder dan de rand","Inocybe curvipes","Steel bruin, bij beschadiging wel donkerder wordend. Hoed eenkleurig","Inocybe lacera","1"
"vezelkoppen21","Lamelsnede sterk wit-vlokkig. Steeltop niet bepoederd","vezelkoppen22","Lamelsnede fijn wit-bewimperd. Steeltop bepoederd","vezelkoppen24","1"
"vezelkoppen22","Hoed schubbig, met plat aanliggende donkerbruine plakjes","Inocybe squamata","Hoed niet schubbig","vezelkoppen23","1"
"vezelkoppen23","Hoed geel tot geelbruin, meestal grof vezelspletig","Inocybe rimosa","Hoed bruin, meestal fijn vezelspletig, soms met witte velumplakjes in centrum","Inocybe maculata","1"
"vezelkoppen24","Hoed vezelspletig","Inocybe fuscidula","Hoed aangedrukt vezelig-schubbig (in ieder geval in het centrum)","Inocybe flocculosa","1"
"vaalhoeden1","Geur duidelijk zoetig, naar oranjebloesem","Hebeloma sacchariolens ss. lato","Geur radijsachtig, niet zoetig","vaalhoeden2","1"
"vaalhoeden2","Jong vruchtlichaam met gordijn. Steel vezelig, vanuit de basis bruin verkleurend. Lamellen nooit tranend","Hebeloma mesophaeum-groep","Jong vruchtlichaam zonder gordijn. Steel wit-vlokkig tot bijna kaal, vanuit de basis niet bruin verkleurend. Lamellen vaak tranend","Hebeloma crustuliniforme ss. lato","1"
"kaalkopjes1","Hoed slijmerig, met overwegend groene tinten","kaalkopjes2","Hoed zonder groene tinten, soms iets olijfbruin","kaalkopjes3","1"
"kaalkopjes2","Sporee violetzwart. Lamellen zwartpurper, met contrasterend witte snede","Stropharia aeruginosa","Sporee bruin. Lamellen bruin, zonder contrasterende snede","Stropharia caerulea","1"
"kaalkopjes3","Steel slijmerig","kaalkopjes4","Steel droog","kaalkopjes5","1"
"kaalkopjes4","Hoed bruingrijs met een violette inslag. Op humus","Stropharia inuncta","Hoed geel. Op mest","Stropharia semiglobata","1"
"kaalkopjes5","Ring aanwezig, soms onduidelijk","kaalkopjes6","Ring afwezig","kaalkopjes8","1"
"kaalkopjes6","Ring onduidelijk. Hoed oranje, slijmerig","Leratiomyces ceres","Ring duidelijk, op de bovenkant gestreept. Hoed geel tot donker bruin, droog","kaalkopjes7","1"
"kaalkopjes7","Hoed klein, tot 6 cm, geel","Stropharia coronilla","Hoed (zeer) groot, tot 20 cm, geelbruin tot roodbruin. Lamellen met opvallende blauwgrijze tint","Stropharia rugosoannulata","1"
"kaalkopjes8","In dichte bundels op hout groeiend","kaalkopjes9","Niet in dichte bundels op hout","kaalkopjes11","1"
"kaalkopjes9","Lamellen grijs. Op naaldhout. Smaak mild","Hypholoma capnoides","Lamellen aanvankelijk niet grijs, maar geelachtig of groenig","kaalkopjes10","1"
"kaalkopjes10","Hoed en steel zwavelgeel. Smaak zeer bitter. Op loof- en naaldhout","Hypholoma fasciculare","Hoed steenrood, aan de rand met gele velumvlokjes. Smaak mild. Op loofhout","Hypholoma lateritium","1"
"kaalkopjes11","Steel opvallend zilverwit. Op hout","Hypholoma dispersum","Steel niet zilverwit. Terrestrisch of op mest","kaalkopjes12","1"
"kaalkopjes12","Hoed spits conisch met opvallende papil. Steel aan de basis blauw verkleurend","Psilocybe semilanceata","Hoed niet zo spits conisch. Steel niet blauw verkleurend","kaalkopjes13","1"
"kaalkopjes13","Op mest groeiend","Deconica coprophila-groep","Niet op mest groeiend","kaalkopjes14","1"
"kaalkopjes14","Hoed met gelatineus afstroopbaar laagje bedekt","Deconica inquilina ss. lato","Hoed zonder gelatineus afstroopbaar laagje","kaalkopjes15","1"
"kaalkopjes15","Tussen mos op droge zandige plaatsen. Hoed klein, donker roodbruin","Deconica montana","Op vochtige standplaatsen","kaalkopjes16","1"
"kaalkopjes16","Hoed met overwegend gele tint","Hypholoma elongatum","Hoed met overwegend bruine tinten","kaalkopjes17","1"
"kaalkopjes17","Hoed doorschijnend gestreept","Hypholoma udum","Hoed niet doorschijnend gestreept","Hypholoma subericaeum-groep","1"
"vlekplaten1","Lamellen bruin. Sporee (donker) bruin","Panaeolina foenisecii","Lamellen en sporee zwart","vlekplaten2","1"
"vlekplaten2","Steel met ring","Panaeolus semiovatus","Steel zonder ring","vlekplaten3","1"
"vlekplaten3","Hoedrand met afhangende witte velumvlokjes","Panaeolus papilionaceus","Hoedrand zonder afhangende velumvlokjes","vlekplaten4","1"
"vlekplaten4","Hoed klokvormig (hoger dan breed)","Panaeolus acuminatus","Hoed convex (breder dan hoog)","vlekplaten5","1"
"vlekplaten5","Steel fors, 3-7 mm dik. Hoed in het midden snel opdrogend en daardoor tweekleurig","Panaeolus cinctulus","Steel dun, 1-3 mm dik. Hoed eenkleurig blijvend, ook bij indrogen","Panaeolus fimicola","1"
"franjehoeden1","In duinzand bij helm","Psathyrella ammophila","Op andere standplaatsen","franjehoeden2","1"
"franjehoeden2","Hoed bleek, met platte bruinige schubben. Steelbasis geel","Psathyrella cotonea","Hoed niet schubbig. Steelbasis niet geel","franjehoeden3","1"
"franjehoeden3","Steel kort wortelend (wortel breekt gemakkelijk af!)","Psathyrella corrugis-groep","Steel niet wortelend","franjehoeden4","1"
"franjehoeden4","Op grote stukken hout (stronken e.d.) groeiend","franjehoeden5","Op de grond of op (begraven) takjes groeiend","franjehoeden8","1"
"franjehoeden5","Kleine tot zeer kleine soort, hoed tot 2 cm","Psathyrella pygmaea","Grotere paddenstoel, hoed 2-10 cm","franjehoeden6","1"
"franjehoeden6","Hoed gelig tot beige, bij opdrogen zeer sterk opblekend en dan vrijwel wit","Psathyrella candolleana","Hoed ook bij opdrogen (licht) bruin","franjehoeden7","1"
"franjehoeden7","Hoedrand zonder velum. Aan de voet of in wondplekken van bomen","Psathyrella spadicea","Hoedrand met wit velum. Op stronken","Psathyrella piluliformis ss. lato","1"
"franjehoeden8","In dichte bundels groeiend","Psathyrella multipedata","Niet in dichte bundels groeiend","franjehoeden9","1"
"franjehoeden9","Hoed bij opdrogen zeer sterk opblekend en dan vrijwel wit","Psathyrella candolleana","Hoed ook bij opdrogen lichtbruin","franjehoeden10","1"
"franjehoeden10","Hoed met fijne donkere haartjes (L!; jonge exemplaren)","Psathyrella conopilus","Hoed niet fijn behaard, kaal of met velum","franjehoeden11","1"
"franjehoeden11","Hoed met grof wittig velum","Psathyrella artemisiae","Hoed met fijn velum, dit spoedig verdwijnend","franjehoeden12","1"
"franjehoeden12","Hoed bij opdrogen tweekleurig, met warm oranjebruin centrum en beigebruin aan de rand","Psathyrella fulvescens-groep","Hoed bij opdrogen min of meer uniform gekleurd","franjehoeden13","1"
"franjehoeden13","Hoed klein, 1-3 cm","franjehoeden14","Hoed groter, 2-7 cm","franjehoeden15","1"
"franjehoeden14","Lamellen rood onderlijnd. Steelbasis met knolletje","Psathyrella prona","Lamellen niet rood onderlijnd. Steelbasis zonder knolletje","Psathyrella panaeoloides","1"
"franjehoeden15","Hoed vlak wordend. Steel gelijkdik","Psathyrella spadiceogrisea-groep","Hoed kegelvormig blijvend. Steel geleidelijk dikker wordend naar de basis","Psathyrella tephrophylla","1"
"spijkerzwammen1","Hoed droog, vezelig","Chroogomphus rutilus","Hoed slijmerig","spijkerzwammen2","1"
"spijkerzwammen2","Hoed roze. Steelbasis wit.","Gomphidius roseus","Hoed grijsbruin. Steelbasis chromaatgeel","Gomphidius glutinosus","1"
"inktzwammen1","Forse paddenstoel. Hoed wit, met grove witte schubben. Steel met ring, hol met dunnen vezelstreng in de steelholte","Coprinus comatus","Niet met deze kenmerken","inktzwammen2","1"
"inktzwammen2","Velum afwezig, hoed volledig kaar. Hoed zeer sterk gegroefg-gepooid, tot 75% van de hoedstaal","inktzwammen3","Velum aanwezig (als poeder, plakjes of vezels), of goedoppervlak heel fijn (L!). Hoed al dan niet gegroefd","inktzwammen4","1"
"inktzwammen3","Hoed tot 2 cm. Op de grond","Parasola plicatilis ss. lato","Hoed tot 0.5 cm. Op mest","Parasola misera","1"
"inktzwammen4","Hoed kaal of met kleine plakjes in het hoedcentrum. Grote paddenstoel, bij rijpheid opvallend vervloeiend","Coprinopsis atramentaria","Hoed met velum of met opstaande fijne haartjes","inktzwammen5","1"
"inktzwammen5","Hoed met wit tot grijs poederig velum. Op mest (inc. konijnenkeutels) groeiend","Coprinopsis nivea-groep","Hoed zonder poederig velum. Op de grond of op hout groeiend","inktzwammen6","1"
"inktzwammen6","Hoedoppervlak met fijna rechtstaande haartjes (L!), zonder velumresten","inktzwammen7","Hoedoppervlak met velumresten bedekt, niet met afstaande haartjes","inktzwammen9","1"
"inktzwammen7","In grote zwemen op stronken van loofhout","Coprinellus disseminatus","Niet in grote zwermmen op stronken","inktzwammen8","1"
"inktzwammen8","Haartjes kleurloos (L!)","Coprinellus congregatus-groep","Haartjes bruin (L!)","Parasola auricoma","1"
"inktzwammen9","Hoed met fijn korrelig velum","inktzwammen10","Hoed met vezelig tot vlokkig velum","inktzwammen11","1"
"inktzwammen10","Velumkorreltjes fijn, glimmerig","Coprinellus micaceus","Velumvlokjes wat groter, niet glimmerig. Steelbasis vaak met oranje vilt","Coprinellus domesticus ss. lato","1"
"inktzwammen11","Hoed aan de rand duidelijk omhoog krullend. velum op steel wit-vlezelig tot wit-wollig","Coprinopsis lagopus","Hoedrand niet omhoog krullend. Steel niet zo wollig","Coprinopsis friesii-groep","1"
"champignons1","Oppervlak van steelbasis chromaatgeel verkleuring bij kleuzing. Vlees met carbolgeur","champignons2","Oppervlak van steelbasis niet opvallend geel. Vlees zonder carbolgeur","champignons3","1"
"champignons2","Hoed glad, wit","Agaricus xanthoderma","Hoed grijsbruin schubbig op bleke ondergrond","Agaricus moelleri","1"
"champignons3","Geur naar anijs, bittere amandelen of bitterkoekjes. Vlees(en hoedoppervlak, na kneuzing) aan de lucht geel verkleurend","champignons4","Geur afwezig of champignonachtig. Vlees aan de lucht niet verkleurend, ofwel roze of rood wordend","champignons7","1"
"champignons4","Hoed wittig","champignons5","Hoed gekleurd, met duidelijk donkerder vezeltjes","champignons6","1"
"champignons5","Steel met opvallende abrupte knol. Ring dun, vliezog","Agaricus silvicola","Steel gelijkdik tot wat opgezwollen, noot met abrupte knol. Ring stevig","Agaricus arvensis ss. lato","1"
"champignons6","Hoed zeer groot, 10-25 cm, gelig, met bruine schubben","Agaricus augustus","Hoeddiameter minder dan 6 cmn met wijnkleurige vezels of schubjes","Agaricus semotus-groep","1"
"champignons7","Hoed bruin, ± duidelijk grof vezelig-schubbig","champignons8","Hoed wittig, niet schubbig","champignons11","1"
"champignons8","Vlees aan de lucht sterk bloedrood verkeurend","Agaricus silvaticus","Vlees aan de lucht niet verkleurend of hoogstens lichtroze wordend","champignons9","1"
"champignons9","Ring aan bovenzijde gestreept","Agaricus subperonatus","Ring aan bovenzijde niet gestreept","champignons10","1"
"champignons10","Ring dun, hangend","Agaricus brunneolus","Ring dik","Agaricus bisporus","1"
"champignons11","Steel met dubbele ring","Agaricus bitorquis","Steel met enkele ring","champignons12","1"
"champignons12","Ring dik","Agaricus bisporus [gekweekte variant]","Ring dun","Agaricus campestris","1"
"cantharellen1","Onderzijde met echte, gevorkte lamellen. Geurloos","Hygrophoropsis aurantiaca","Onderzijde met meer of minder duidelijk ontwikkelde dikkige aders, nooit met echte lamellen. Zoetgeurend, als abrikoos","cantharellen2","1"
"cantharellen2","Hoed, steel en onderzijde grijs tot bruin","Pseudocraterellus undulatus","Met overwegend gele tinten","cantharellen3","1"
"cantharellen3","Vlees dik. Hoed dooiergeel","Cantharellus cibarius","Vlees dun. Hoed bruin tot bruingeel","Cantharellus tubaeformis","1"
